,contrast,estimate,SE_est,z.ratio,p.value,effect.size,df,asymp.LCL,asymp.UCL,sig
1,December22 - May22,0.013120426,0.210284329,0.06239374,0.998,0.000504632,Inf,-0.01534728,0.016356544,
2,December22 - November19,3.037996175,0.413817498,7.341391292,<0.001,0.116846007,Inf,0.085651107,0.148040906,***
3,May22 - November19,3.024875749,0.409080476,7.39432929,<0.001,0.116341375,Inf,0.085503567,0.147179183,***
