"","time_point","survey","location_name","species","total","event","n_tl","prev_tl","n_healthy"
"249","October19","November19","South Reef Central","Madracis decactis",6,"November19_South Reef Central_Madracis decactis",0,0,6
"250","October19","November19","South Reef Central","Meandrina meandrites",2,"November19_South Reef Central_Meandrina meandrites",0,0,2
"251","October19","November19","South Reef Central","Montastraea cavernosa",8,"November19_South Reef Central_Montastraea cavernosa",0,0,8
"252","October19","November19","South Reef Central","Orbicella spp.",12,"November19_South Reef Central_Orbicella spp.",0,0,12
"253","October19","November19","South Reef Central","Porites astreoides",77,"November19_South Reef Central_Porites astreoides",2,0.025974025974026,75
"254","October19","November19","South Reef Central","Porites porities",25,"November19_South Reef Central_Porites porities",0,0,25
"255","October19","November19","South Reef Central","Pseudodiploria strigosa",6,"November19_South Reef Central_Pseudodiploria strigosa",0,0,6
"256","October19","November19","South Reef Central","Siderastrea radians",1,"November19_South Reef Central_Siderastrea radians",0,0,1
"257","October19","November19","South Reef Central","Siderastrea siderea",53,"November19_South Reef Central_Siderastrea siderea",0,0,53
"258","October19","November19","South Reef Central","Stephanocoenia intersepta",4,"November19_South Reef Central_Stephanocoenia intersepta",0,0,4
