"","time_point","survey","location_name","species","total","event","n_tl","prev_tl","n_healthy"
"57","December22","December22","SR30N","Orbicella spp.",11,"December22_SR30N_Orbicella spp.",0,0,11
"58","December22","December22","SR30N","Porites astreoides",39,"December22_SR30N_Porites astreoides",0,0,39
"59","December22","December22","SR30N","Porites porities",44,"December22_SR30N_Porites porities",0,0,44
"60","December22","December22","SR30N","Pseudodiploria clivosa",1,"December22_SR30N_Pseudodiploria clivosa",0,0,1
"61","December22","December22","SR30N","Pseudodiploria strigosa",6,"December22_SR30N_Pseudodiploria strigosa",1,0.166666666666667,5
"62","December22","December22","SR30N","Siderastrea siderea",21,"December22_SR30N_Siderastrea siderea",9,0.428571428571429,12
"63","December22","December22","SR30N","Stephanocoenia intersepta",1,"December22_SR30N_Stephanocoenia intersepta",0,0,1
"64","December22","December22","South Reef Central","Agaricia agaricites",76,"December22_South Reef Central_Agaricia agaricites",1,0.0131578947368421,75
"65","December22","December22","South Reef Central","Agaricia tenuifolia",43,"December22_South Reef Central_Agaricia tenuifolia",0,0,43
"66","December22","December22","South Reef Central","Helioseris cucullata",2,"December22_South Reef Central_Helioseris cucullata",0,0,2
"67","December22","December22","South Reef Central","Madracis decactis",2,"December22_South Reef Central_Madracis decactis",0,0,2
"68","December22","December22","South Reef Central","Montastraea cavernosa",6,"December22_South Reef Central_Montastraea cavernosa",0,0,6
"69","December22","December22","South Reef Central","Orbicella spp.",5,"December22_South Reef Central_Orbicella spp.",0,0,5
"70","December22","December22","South Reef Central","Porites astreoides",78,"December22_South Reef Central_Porites astreoides",0,0,78
"71","December22","December22","South Reef Central","Porites porities",47,"December22_South Reef Central_Porites porities",0,0,47
"72","December22","December22","South Reef Central","Pseudodiploria strigosa",1,"December22_South Reef Central_Pseudodiploria strigosa",0,0,1
"73","December22","December22","South Reef Central","Scolymia cubensis",1,"December22_South Reef Central_Scolymia cubensis",0,0,1
"74","December22","December22","South Reef Central","Siderastrea siderea",32,"December22_South Reef Central_Siderastrea siderea",8,0.25,24
"75","December22","December22","South Reef Central","Stephanocoenia intersepta",3,"December22_South Reef Central_Stephanocoenia intersepta",0,0,3
"76","January20","November19","CBC30N","Agaricia agaricites",83,"November19_CBC30N_Agaricia agaricites",0,0,83
"77","January20","November19","CBC30N","Agaricia lamarckiana",1,"November19_CBC30N_Agaricia lamarckiana",0,0,1
"78","January20","November19","CBC30N","Agaricia tenuifolia",25,"November19_CBC30N_Agaricia tenuifolia",0,0,25
"79","January20","November19","CBC30N","Dichocoenia stokesii",4,"November19_CBC30N_Dichocoenia stokesii",0,0,4
"80","January20","November19","CBC30N","Eusmilia fastigiata",1,"November19_CBC30N_Eusmilia fastigiata",0,0,1
"81","January20","November19","CBC30N","Meandrina meandrites",1,"November19_CBC30N_Meandrina meandrites",0,0,1
"82","January20","November19","CBC30N","Montastraea cavernosa",5,"November19_CBC30N_Montastraea cavernosa",0,0,5
"83","January20","November19","CBC30N","Orbicella spp.",14,"November19_CBC30N_Orbicella spp.",0,0,14
"84","January20","November19","CBC30N","Porites astreoides",113,"November19_CBC30N_Porites astreoides",0,0,113
"85","January20","November19","CBC30N","Porites porities",11,"November19_CBC30N_Porites porities",0,0,11
"86","January20","November19","CBC30N","Pseudodiploria strigosa",5,"November19_CBC30N_Pseudodiploria strigosa",0,0,5
"87","January20","November19","CBC30N","Siderastrea radians",1,"November19_CBC30N_Siderastrea radians",0,0,1
"88","January20","November19","CBC30N","Siderastrea siderea",73,"November19_CBC30N_Siderastrea siderea",0,0,73
"89","January20","November19","CBC30N","Stephanocoenia intersepta",2,"November19_CBC30N_Stephanocoenia intersepta",0,0,2
"90","January20","November19","SR30N","Agaricia agaricites",129,"November19_SR30N_Agaricia agaricites",0,0,129
"91","January20","November19","SR30N","Agaricia tenuifolia",24,"November19_SR30N_Agaricia tenuifolia",0,0,24
"92","January20","November19","SR30N","Colpophyllia natans",1,"November19_SR30N_Colpophyllia natans",0,0,1
"93","January20","November19","SR30N","Dendrogyra cylindrus",1,"November19_SR30N_Dendrogyra cylindrus",0,0,1
"94","January20","November19","SR30N","Dichocoenia stokesii",2,"November19_SR30N_Dichocoenia stokesii",0,0,2
"95","January20","November19","SR30N","Eusmilia fastigiata",1,"November19_SR30N_Eusmilia fastigiata",0,0,1
"96","January20","November19","SR30N","Helioseris cucullata",5,"November19_SR30N_Helioseris cucullata",0,0,5
"97","January20","November19","SR30N","Madracis decactis",2,"November19_SR30N_Madracis decactis",0,0,2
"98","January20","November19","SR30N","Meandrina meandrites",1,"November19_SR30N_Meandrina meandrites",0,0,1
"99","January20","November19","SR30N","Montastraea cavernosa",6,"November19_SR30N_Montastraea cavernosa",0,0,6
"100","January20","November19","SR30N","Mycetophyllia spp.",2,"November19_SR30N_Mycetophyllia spp.",0,0,2
"101","January20","November19","SR30N","Orbicella spp.",10,"November19_SR30N_Orbicella spp.",0,0,10
"102","January20","November19","SR30N","Porites astreoides",61,"November19_SR30N_Porites astreoides",0,0,61
"103","January20","November19","SR30N","Porites porities",30,"November19_SR30N_Porites porities",0,0,30
"104","January20","November19","SR30N","Pseudodiploria strigosa",8,"November19_SR30N_Pseudodiploria strigosa",0,0,8
"105","January20","November19","SR30N","Siderastrea siderea",85,"November19_SR30N_Siderastrea siderea",0,0,85
"106","January20","November19","SR30N","Stephanocoenia intersepta",5,"November19_SR30N_Stephanocoenia intersepta",0,0,5
"107","May22","May22","CBC Central","Agaricia agaricites",65,"May22_CBC Central_Agaricia agaricites",1,0.0153846153846154,64
"108","May22","May22","CBC Central","Agaricia tenuifolia",29,"May22_CBC Central_Agaricia tenuifolia",1,0.0344827586206897,28
"109","May22","May22","CBC Central","Diploria labyrinthiformis",2,"May22_CBC Central_Diploria labyrinthiformis",1,0.5,1
"110","May22","May22","CBC Central","Montastraea cavernosa",1,"May22_CBC Central_Montastraea cavernosa",1,1,0
"111","May22","May22","CBC Central","Orbicella spp.",3,"May22_CBC Central_Orbicella spp.",1,0.333333333333333,2
"112","May22","May22","CBC Central","Porites astreoides",71,"May22_CBC Central_Porites astreoides",0,0,71
"113","May22","May22","CBC Central","Porites porities",27,"May22_CBC Central_Porites porities",0,0,27
"114","May22","May22","CBC Central","Pseudodiploria strigosa",5,"May22_CBC Central_Pseudodiploria strigosa",1,0.2,4
"115","May22","May22","CBC Central","Siderastrea radians",1,"May22_CBC Central_Siderastrea radians",0,0,1
"116","May22","May22","CBC Central","Siderastrea siderea",28,"May22_CBC Central_Siderastrea siderea",1,0.0357142857142857,27
"117","May22","May22","CBC Central","Stephanocoenia intersepta",7,"May22_CBC Central_Stephanocoenia intersepta",0,0,7
"118","May22","May22","CBC Lagoon","Agaricia agaricites",61,"May22_CBC Lagoon_Agaricia agaricites",0,0,61
"119","May22","May22","CBC Lagoon","Agaricia tenuifolia",94,"May22_CBC Lagoon_Agaricia tenuifolia",19,0.202127659574468,75
"120","May22","May22","CBC Lagoon","Dichocoenia stokesii",1,"May22_CBC Lagoon_Dichocoenia stokesii",0,0,1
"121","May22","May22","CBC Lagoon","Diploria labyrinthiformis",1,"May22_CBC Lagoon_Diploria labyrinthiformis",1,1,0
"122","May22","May22","CBC Lagoon","Eusmilia fastigiata",1,"May22_CBC Lagoon_Eusmilia fastigiata",0,0,1
"123","May22","May22","CBC Lagoon","Montastraea cavernosa",5,"May22_CBC Lagoon_Montastraea cavernosa",2,0.4,3
"124","May22","May22","CBC Lagoon","Orbicella spp.",9,"May22_CBC Lagoon_Orbicella spp.",3,0.333333333333333,6
"125","May22","May22","CBC Lagoon","Porites astreoides",68,"May22_CBC Lagoon_Porites astreoides",0,0,68
"126","May22","May22","CBC Lagoon","Porites porities",18,"May22_CBC Lagoon_Porites porities",0,0,18
"127","May22","May22","CBC Lagoon","Siderastrea radians",7,"May22_CBC Lagoon_Siderastrea radians",0,0,7
"128","May22","May22","CBC Lagoon","Siderastrea siderea",24,"May22_CBC Lagoon_Siderastrea siderea",9,0.375,15
"129","May22","May22","CBC Lagoon","Stephanocoenia intersepta",3,"May22_CBC Lagoon_Stephanocoenia intersepta",1,0.333333333333333,2
"130","May22","May22","CBC30N","Agaricia agaricites",46,"May22_CBC30N_Agaricia agaricites",0,0,46
"131","May22","May22","CBC30N","Agaricia tenuifolia",21,"May22_CBC30N_Agaricia tenuifolia",2,0.0952380952380952,19
"132","May22","May22","CBC30N","Madracis decactis",3,"May22_CBC30N_Madracis decactis",0,0,3
"133","May22","May22","CBC30N","Montastraea cavernosa",3,"May22_CBC30N_Montastraea cavernosa",0,0,3
"134","May22","May22","CBC30N","Porites astreoides",69,"May22_CBC30N_Porites astreoides",2,0.0289855072463768,67
"135","May22","May22","CBC30N","Porites porities",8,"May22_CBC30N_Porites porities",0,0,8
"136","May22","May22","CBC30N","Pseudodiploria strigosa",2,"May22_CBC30N_Pseudodiploria strigosa",1,0.5,1
"137","May22","May22","CBC30N","Siderastrea radians",3,"May22_CBC30N_Siderastrea radians",0,0,3
"138","May22","May22","CBC30N","Siderastrea siderea",26,"May22_CBC30N_Siderastrea siderea",4,0.153846153846154,22
"139","May22","May22","CBC30N","Stephanocoenia intersepta",3,"May22_CBC30N_Stephanocoenia intersepta",0,0,3
"140","May22","May22","Curlew Patch","Agaricia agaricites",27,"May22_Curlew Patch_Agaricia agaricites",0,0,27
"141","May22","May22","Curlew Patch","Agaricia tenuifolia",22,"May22_Curlew Patch_Agaricia tenuifolia",0,0,22
"142","May22","May22","Curlew Patch","Dichocoenia stokesii",1,"May22_Curlew Patch_Dichocoenia stokesii",0,0,1
"143","May22","May22","Curlew Patch","Montastraea cavernosa",12,"May22_Curlew Patch_Montastraea cavernosa",2,0.166666666666667,10
"144","May22","May22","Curlew Patch","Orbicella spp.",7,"May22_Curlew Patch_Orbicella spp.",1,0.142857142857143,6
"145","May22","May22","Curlew Patch","Porites astreoides",20,"May22_Curlew Patch_Porites astreoides",1,0.05,19
"146","May22","May22","Curlew Patch","Porites porities",13,"May22_Curlew Patch_Porites porities",0,0,13
"147","May22","May22","Curlew Patch","Siderastrea radians",4,"May22_Curlew Patch_Siderastrea radians",0,0,4
"148","May22","May22","Curlew Patch","Siderastrea siderea",25,"May22_Curlew Patch_Siderastrea siderea",6,0.24,19
"149","May22","May22","Curlew Patch","Stephanocoenia intersepta",2,"May22_Curlew Patch_Stephanocoenia intersepta",0,0,2
"150","May22","May22","House Reef","Agaricia agaricites",23,"May22_House Reef_Agaricia agaricites",0,0,23
"151","May22","May22","House Reef","Agaricia tenuifolia",7,"May22_House Reef_Agaricia tenuifolia",0,0,7
"152","May22","May22","House Reef","Diploria labyrinthiformis",2,"May22_House Reef_Diploria labyrinthiformis",1,0.5,1
"153","May22","May22","House Reef","Isophyllia sinuosa",1,"May22_House Reef_Isophyllia sinuosa",0,0,1
"154","May22","May22","House Reef","Orbicella spp.",16,"May22_House Reef_Orbicella spp.",2,0.125,14
"155","May22","May22","House Reef","Porites astreoides",5,"May22_House Reef_Porites astreoides",0,0,5
"156","May22","May22","House Reef","Porites porities",1,"May22_House Reef_Porites porities",0,0,1
"157","May22","May22","House Reef","Pseudodiploria strigosa",7,"May22_House Reef_Pseudodiploria strigosa",3,0.428571428571429,4
"158","May22","May22","House Reef","Siderastrea radians",2,"May22_House Reef_Siderastrea radians",0,0,2
"159","May22","May22","House Reef","Siderastrea siderea",8,"May22_House Reef_Siderastrea siderea",1,0.125,7
"160","May22","May22","House Reef","Stephanocoenia intersepta",7,"May22_House Reef_Stephanocoenia intersepta",0,0,7
"161","May22","May22","SR30N","Agaricia agaricites",26,"May22_SR30N_Agaricia agaricites",0,0,26
"162","May22","May22","SR30N","Agaricia tenuifolia",14,"May22_SR30N_Agaricia tenuifolia",0,0,14
"163","May22","May22","SR30N","Colpophyllia natans",1,"May22_SR30N_Colpophyllia natans",0,0,1
"164","May22","May22","SR30N","Dichocoenia stokesii",2,"May22_SR30N_Dichocoenia stokesii",0,0,2
"165","May22","May22","SR30N","Isophyllia rigida",1,"May22_SR30N_Isophyllia rigida",0,0,1
"166","May22","May22","SR30N","Montastraea cavernosa",3,"May22_SR30N_Montastraea cavernosa",1,0.333333333333333,2
"167","May22","May22","SR30N","Orbicella spp.",6,"May22_SR30N_Orbicella spp.",0,0,6
"168","May22","May22","SR30N","Porites astreoides",21,"May22_SR30N_Porites astreoides",0,0,21
"169","May22","May22","SR30N","Porites porities",10,"May22_SR30N_Porites porities",0,0,10
"170","May22","May22","SR30N","Pseudodiploria clivosa",1,"May22_SR30N_Pseudodiploria clivosa",0,0,1
"171","May22","May22","SR30N","Pseudodiploria strigosa",7,"May22_SR30N_Pseudodiploria strigosa",1,0.142857142857143,6
"172","May22","May22","SR30N","Siderastrea siderea",16,"May22_SR30N_Siderastrea siderea",3,0.1875,13
"173","May22","May22","South Reef Central","Agaricia agaricites",69,"May22_South Reef Central_Agaricia agaricites",1,0.0144927536231884,68
"174","May22","May22","South Reef Central","Agaricia tenuifolia",28,"May22_South Reef Central_Agaricia tenuifolia",0,0,28
"175","May22","May22","South Reef Central","Eusmilia fastigiata",5,"May22_South Reef Central_Eusmilia fastigiata",4,0.8,1
"176","May22","May22","South Reef Central","Madracis decactis",5,"May22_South Reef Central_Madracis decactis",0,0,5
"177","May22","May22","South Reef Central","Montastraea cavernosa",5,"May22_South Reef Central_Montastraea cavernosa",1,0.2,4
"178","May22","May22","South Reef Central","Orbicella spp.",5,"May22_South Reef Central_Orbicella spp.",1,0.2,4
"179","May22","May22","South Reef Central","Porites astreoides",56,"May22_South Reef Central_Porites astreoides",0,0,56
"180","May22","May22","South Reef Central","Porites porities",26,"May22_South Reef Central_Porites porities",0,0,26
"181","May22","May22","South Reef Central","Pseudodiploria strigosa",2,"May22_South Reef Central_Pseudodiploria strigosa",1,0.5,1
"182","May22","May22","South Reef Central","Siderastrea radians",5,"May22_South Reef Central_Siderastrea radians",0,0,5
