"","survey","location_name","species","n_tl","n_healthy"
"28","Oct 2019/Jan 2020","CBC Lagoon","Acropora cervicornis",0,0
"29","Oct 2019/Jan 2020","CBC Lagoon","Agaricia agaricites",0,121
"30","Oct 2019/Jan 2020","CBC Lagoon","Agaricia lamarckiana",0,0
"31","Oct 2019/Jan 2020","CBC Lagoon","Agaricia tenuifolia",0,107
"32","Oct 2019/Jan 2020","CBC Lagoon","Colpophyllia natans",0,0
"33","Oct 2019/Jan 2020","CBC Lagoon","Dendrogyra cylindrus",0,0
"34","Oct 2019/Jan 2020","CBC Lagoon","Dichocoenia stokesii",0,3
"35","Oct 2019/Jan 2020","CBC Lagoon","Diploria labyrinthiformis",0,2
"36","Oct 2019/Jan 2020","CBC Lagoon","Eusmilia fastigiata",0,2
"37","Oct 2019/Jan 2020","CBC Lagoon","Favia fragum",0,0
"38","Oct 2019/Jan 2020","CBC Lagoon","Helioseris cucullata",0,1
"39","Oct 2019/Jan 2020","CBC Lagoon","Isophyllia rigida",0,0
"40","Oct 2019/Jan 2020","CBC Lagoon","Isophyllia sinuosa",0,0
"41","Oct 2019/Jan 2020","CBC Lagoon","Madracis decactis",0,3
"42","Oct 2019/Jan 2020","CBC Lagoon","Meandrina meandrites",0,1
"43","Oct 2019/Jan 2020","CBC Lagoon","Montastraea cavernosa",0,12
"44","Oct 2019/Jan 2020","CBC Lagoon","Mycetophyllia aliciae",0,0
"45","Oct 2019/Jan 2020","CBC Lagoon","Mycetophyllia spp.",0,0
"46","Oct 2019/Jan 2020","CBC Lagoon","Orbicella spp.",0,17
"47","Oct 2019/Jan 2020","CBC Lagoon","Porites astreoides",0,71
"48","Oct 2019/Jan 2020","CBC Lagoon","Porites porites",0,26
"49","Oct 2019/Jan 2020","CBC Lagoon","Pseudodiploria clivosa",0,0
"50","Oct 2019/Jan 2020","CBC Lagoon","Pseudodiploria strigosa",0,5
"51","Oct 2019/Jan 2020","CBC Lagoon","Scolymia cubensis",0,0
"52","Oct 2019/Jan 2020","CBC Lagoon","Siderastrea radians",0,1
"53","Oct 2019/Jan 2020","CBC Lagoon","Siderastrea siderea",0,48
"54","Oct 2019/Jan 2020","CBC Lagoon","Stephanocoenia intersepta",0,5
"55","Oct 2019/Jan 2020","CBC30N","Acropora cervicornis",0,0
"56","Oct 2019/Jan 2020","CBC30N","Agaricia agaricites",0,83
"57","Oct 2019/Jan 2020","CBC30N","Agaricia lamarckiana",0,1
"58","Oct 2019/Jan 2020","CBC30N","Agaricia tenuifolia",0,25
"59","Oct 2019/Jan 2020","CBC30N","Colpophyllia natans",0,0
"60","Oct 2019/Jan 2020","CBC30N","Dendrogyra cylindrus",0,0
"61","Oct 2019/Jan 2020","CBC30N","Dichocoenia stokesii",0,4
"62","Oct 2019/Jan 2020","CBC30N","Diploria labyrinthiformis",0,0
"63","Oct 2019/Jan 2020","CBC30N","Eusmilia fastigiata",0,1
"64","Oct 2019/Jan 2020","CBC30N","Favia fragum",0,0
"65","Oct 2019/Jan 2020","CBC30N","Helioseris cucullata",0,0
"66","Oct 2019/Jan 2020","CBC30N","Isophyllia rigida",0,0
"67","Oct 2019/Jan 2020","CBC30N","Isophyllia sinuosa",0,0
"68","Oct 2019/Jan 2020","CBC30N","Madracis decactis",0,0
"69","Oct 2019/Jan 2020","CBC30N","Meandrina meandrites",0,1
"70","Oct 2019/Jan 2020","CBC30N","Montastraea cavernosa",0,5
"71","Oct 2019/Jan 2020","CBC30N","Mycetophyllia aliciae",0,0
"72","Oct 2019/Jan 2020","CBC30N","Mycetophyllia spp.",0,0
"73","Oct 2019/Jan 2020","CBC30N","Orbicella spp.",0,14
"74","Oct 2019/Jan 2020","CBC30N","Porites astreoides",0,113
"75","Oct 2019/Jan 2020","CBC30N","Porites porites",0,11
"76","Oct 2019/Jan 2020","CBC30N","Pseudodiploria clivosa",0,0
"77","Oct 2019/Jan 2020","CBC30N","Pseudodiploria strigosa",0,5
"78","Oct 2019/Jan 2020","CBC30N","Scolymia cubensis",0,0
"79","Oct 2019/Jan 2020","CBC30N","Siderastrea radians",0,1
"80","Oct 2019/Jan 2020","CBC30N","Siderastrea siderea",0,73
"81","Oct 2019/Jan 2020","CBC30N","Stephanocoenia intersepta",0,2
"82","Oct 2019/Jan 2020","Curlew Patch","Acropora cervicornis",0,2
"83","Oct 2019/Jan 2020","Curlew Patch","Agaricia agaricites",1,184
"84","Oct 2019/Jan 2020","Curlew Patch","Agaricia lamarckiana",0,0
"85","Oct 2019/Jan 2020","Curlew Patch","Agaricia tenuifolia",0,100
"86","Oct 2019/Jan 2020","Curlew Patch","Colpophyllia natans",0,0
"87","Oct 2019/Jan 2020","Curlew Patch","Dendrogyra cylindrus",0,0
"88","Oct 2019/Jan 2020","Curlew Patch","Dichocoenia stokesii",0,1
"89","Oct 2019/Jan 2020","Curlew Patch","Diploria labyrinthiformis",0,0
"90","Oct 2019/Jan 2020","Curlew Patch","Eusmilia fastigiata",0,0
"91","Oct 2019/Jan 2020","Curlew Patch","Favia fragum",0,0
"92","Oct 2019/Jan 2020","Curlew Patch","Helioseris cucullata",0,2
"93","Oct 2019/Jan 2020","Curlew Patch","Isophyllia rigida",0,0
"94","Oct 2019/Jan 2020","Curlew Patch","Isophyllia sinuosa",0,0
"95","Oct 2019/Jan 2020","Curlew Patch","Madracis decactis",0,0
"96","Oct 2019/Jan 2020","Curlew Patch","Meandrina meandrites",0,0
"97","Oct 2019/Jan 2020","Curlew Patch","Montastraea cavernosa",0,9
"98","Oct 2019/Jan 2020","Curlew Patch","Mycetophyllia aliciae",0,1
"99","Oct 2019/Jan 2020","Curlew Patch","Mycetophyllia spp.",0,0
"100","Oct 2019/Jan 2020","Curlew Patch","Orbicella spp.",0,8
"101","Oct 2019/Jan 2020","Curlew Patch","Porites astreoides",0,59
"102","Oct 2019/Jan 2020","Curlew Patch","Porites porites",0,65
"103","Oct 2019/Jan 2020","Curlew Patch","Pseudodiploria clivosa",0,0
"104","Oct 2019/Jan 2020","Curlew Patch","Pseudodiploria strigosa",0,1
"105","Oct 2019/Jan 2020","Curlew Patch","Scolymia cubensis",0,0
