"","ID","diver","buddy","meters_surveyed","site_code","location_name","latitude","longitude","day","month","year","depth","code","scientific_name","total","juveniles_1_to_4_cm","isolate_1_to_4_cm","X5_to_10_cm","X11_to_20_cm","X21_to_40_cm","X41_to_80_cm","over_80_cm","X0_recent_total_mortality","predation_bites","X","total_small","total_lg","adult","date","event","time_point","survey"
"723",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","aaga","Agaricia agaricites",46,6,3,23,12,2,0,0,"",NA,"",40,0,40,2022-05-19,"CBC Lagoon_May22","May22","May22"
"724",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","aten","Agaricia tenuifolia",53,0,9,16,13,5,8,2,"",NA,"",43,10,53,2022-05-19,"CBC Lagoon_May22","May22","May22"
"725",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","dlab","Diploria labyrinthiformis",1,0,0,0,0,1,0,0,"",NA,"",1,0,1,2022-05-19,"CBC Lagoon_May22","May22","May22"
"726",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","efas","Eusmilia fastigiata",1,1,0,0,0,0,0,0,"",NA,"",0,0,0,2022-05-19,"CBC Lagoon_May22","May22","May22"
"727",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","mcav","Montastraea cavernosa",2,0,0,0,0,2,0,0,"",NA,"",2,0,2,2022-05-19,"CBC Lagoon_May22","May22","May22"
"728",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","past","Porites astreoides",43,12,0,10,20,1,0,0,"",NA,"",31,0,31,2022-05-19,"CBC Lagoon_May22","May22","May22"
"729",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","ppor","Porites porites",10,2,0,3,4,1,0,0,"",NA,"",8,0,8,2022-05-19,"CBC Lagoon_May22","May22","May22"
"730",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","ssid","Siderastrea siderea",12,0,0,4,6,2,0,0,"",NA,"",12,0,12,2022-05-19,"CBC Lagoon_May22","May22","May22"
"731",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","srad","Siderastrea radians",1,0,0,1,0,0,0,0,"",NA,"",1,0,1,2022-05-19,"CBC Lagoon_May22","May22","May22"
"732",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","sint","Stephanocoenia intersepta",2,0,1,0,0,1,0,0,"",NA,"",2,0,2,2022-05-19,"CBC Lagoon_May22","May22","May22"
"733",NA,"Leah Harper","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","orbi","Orbicella spp.",2,0,1,0,1,0,0,0,"",NA,"",2,0,2,2022-05-19,"CBC Lagoon_May22","May22","May22"
"734",NA,"Viviana Bravo","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","aaga","Agaricia agaricites",7,3,1,0,3,0,0,0,"",NA,"",4,0,4,2022-05-19,"CBC Lagoon_May22","May22","May22"
"735",NA,"Viviana Bravo","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","aten","Agaricia tenuifolia",9,0,0,0,4,3,2,0,"",NA,"",7,2,9,2022-05-19,"CBC Lagoon_May22","May22","May22"
"736",NA,"Viviana Bravo","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","dsto","Dichocoenia stokesii",1,0,0,0,0,1,0,0,"",NA,"",1,0,1,2022-05-19,"CBC Lagoon_May22","May22","May22"
"737",NA,"Viviana Bravo","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","mcav","Montastraea cavernosa",1,0,0,0,1,0,0,0,"",NA,"",1,0,1,2022-05-19,"CBC Lagoon_May22","May22","May22"
"738",NA,"Viviana Bravo","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","orbi","Orbicella spp.",3,0,0,0,1,2,0,0,"",NA,"",3,0,3,2022-05-19,"CBC Lagoon_May22","May22","May22"
"739",NA,"Viviana Bravo","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","past","Porites astreoides",16,4,1,2,7,2,0,0,"",NA,"",12,0,12,2022-05-19,"CBC Lagoon_May22","May22","May22"
"740",NA,"Viviana Bravo","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","ppor","Porites porites",2,0,0,1,1,0,0,0,"",NA,"",2,0,2,2022-05-19,"CBC Lagoon_May22","May22","May22"
"741",NA,"Viviana Bravo","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","ssid","Siderastrea siderea",6,0,0,1,4,1,0,0,"",NA,"",6,0,6,2022-05-19,"CBC Lagoon_May22","May22","May22"
"742",NA,"Viviana Bravo","",NA,"","CBC Lagoon",NA,NA,19,5,"2022","","srad","Siderastrea radians",6,0,0,2,2,2,0,0,"",NA,"",6,0,6,2022-05-19,"CBC Lagoon_May22","May22","May22"
"743",NA,"Sarah Gignoux-Wolfsohn","",NA,"","House Reef",NA,NA,20,5,"2022","","aaga","Agaricia agaricites",12,2,2,5,3,0,0,0,"",NA,"",10,0,10,2022-05-20,"House Reef_May22","May22","May22"
"744",NA,"Sarah Gignoux-Wolfsohn","",NA,"","House Reef",NA,NA,20,5,"2022","","aten","Agaricia tenuifolia",3,0,0,0,1,1,0,1,"",NA,"",2,1,3,2022-05-20,"House Reef_May22","May22","May22"
"745",NA,"Sarah Gignoux-Wolfsohn","",NA,"","House Reef",NA,NA,20,5,"2022","","pstr","Pseudodiploria strigosa",3,0,0,0,1,0,1,1,"",NA,"",1,2,3,2022-05-20,"House Reef_May22","May22","May22"
"746",NA,"Sarah Gignoux-Wolfsohn","",NA,"","House Reef",NA,NA,20,5,"2022","","orbi","Orbicella spp.",2,1,0,0,1,0,0,0,"",NA,"",1,0,1,2022-05-20,"House Reef_May22","May22","May22"
"747",NA,"Sarah Gignoux-Wolfsohn","",NA,"","House Reef",NA,NA,20,5,"2022","","orbi","Orbicella spp.",5,0,0,1,2,0,1,1,"",NA,"",3,2,5,2022-05-20,"House Reef_May22","May22","May22"
"748",NA,"Sarah Gignoux-Wolfsohn","",NA,"","House Reef",NA,NA,20,5,"2022","","past","Porites astreoides",4,2,0,0,1,0,1,0,"",NA,"",1,1,2,2022-05-20,"House Reef_May22","May22","May22"
"749",NA,"Sarah Gignoux-Wolfsohn","",NA,"","House Reef",NA,NA,20,5,"2022","","ssid","Siderastrea siderea",4,0,0,1,0,3,0,0,"",NA,"",4,0,4,2022-05-20,"House Reef_May22","May22","May22"
"750",NA,"Sarah Gignoux-Wolfsohn","",NA,"","House Reef",NA,NA,20,5,"2022","","ppor","Porites porites",1,0,1,0,0,0,0,0,"",NA,"",1,0,1,2022-05-20,"House Reef_May22","May22","May22"
